time_start,time_end,label,score
0:00:00,0:00:05,squat,0.44932714
0:00:05,0:00:10,pull ups,0.3859146
0:00:10,0:00:15,squat,0.35331893
0:00:15,0:00:20,pull ups,0.46109074
0:00:20,0:00:25,squat,0.41058308
0:00:25,0:00:30,pull ups,0.4700147
0:00:30,0:00:35,squat,0.42735836
0:00:35,0:00:40,pull ups,0.46333694
0:00:40,0:00:45,pull ups,0.4296572
0:00:45,0:00:50,pull ups,0.46977758
0:00:50,0:00:55,pull ups,0.5483161
0:00:55,0:01:00,pull ups,0.7021346
0:01:00,0:01:05,bench pressing,0.99240994
0:01:05,0:01:10,bench pressing,0.98615175
0:01:10,0:01:15,bench pressing,0.26394388
0:01:15,0:01:20,bench pressing,0.5624793
0:01:20,0:01:25,bench pressing,0.3875455
0:01:25,0:01:30,bench pressing,0.7552829
0:01:30,0:01:35,bench pressing,0.44883493
0:01:35,0:01:40,bench pressing,0.63114935
0:01:40,0:01:45,front raises,0.37991744
0:01:45,0:01:50,front raises,0.6602255
0:01:50,0:01:55,front raises,0.43953016
0:01:55,0:02:00,bench pressing,0.5788728
0:02:00,0:02:05,bench pressing,0.52253544
0:02:05,0:02:10,bench pressing,0.989865
0:02:10,0:02:15,bench pressing,0.9997104
0:02:15,0:02:20,bench pressing,0.99988437
0:02:20,0:02:25,bench pressing,0.9999844
0:02:25,0:02:30,bench pressing,0.9997373
0:02:30,0:02:35,bench pressing,0.9999927
0:02:35,0:02:40,bench pressing,0.9999999
0:02:40,0:02:45,bench pressing,0.99948645
0:02:45,0:02:50,bench pressing,0.86677945
0:02:50,0:02:55,squat,0.6525757
0:02:55,0:03:00,bench pressing,0.9998191
0:03:00,0:03:05,bench pressing,0.99997354
0:03:05,0:03:10,bench pressing,0.9999968
0:03:10,0:03:15,bench pressing,0.9999949
0:03:15,0:03:20,bench pressing,0.9999999
0:03:20,0:03:25,bench pressing,0.99999964
0:03:25,0:03:30,bench pressing,0.587662
0:03:30,0:03:35,push up,0.99350303
0:03:35,0:03:40,push up,0.9955161
0:03:40,0:03:45,push up,0.99093866
0:03:45,0:03:50,bench pressing,1.0
0:03:50,0:03:55,bench pressing,0.99999607
0:03:55,0:04:00,bench pressing,0.9999896
0:04:00,0:04:05,bench pressing,0.9999999
0:04:05,0:04:10,bench pressing,0.99999857
0:04:10,0:04:15,bench pressing,0.99999964
0:04:15,0:04:20,bench pressing,0.9999416
0:04:20,0:04:25,bench pressing,0.9999378
0:04:25,0:04:30,bench pressing,0.999998
0:04:30,0:04:35,bench pressing,0.85891104
0:04:35,0:04:40,running on treadmill,0.89583856
0:04:40,0:04:45,squat,0.3497505
0:04:45,0:04:50,squat,0.50640714
0:04:50,0:04:55,bench pressing,0.50588757
0:04:55,0:05:00,bench pressing,0.99860185
0:05:00,0:05:05,bench pressing,0.99999785
0:05:05,0:05:10,bench pressing,0.99459684
0:05:10,0:05:15,bench pressing,0.99998975
0:05:15,0:05:20,bench pressing,0.9999933
0:05:20,0:05:25,bench pressing,0.99999475
0:05:25,0:05:30,bench pressing,0.99999523
0:05:30,0:05:35,bench pressing,0.99999
0:05:35,0:05:40,bench pressing,0.99991894
0:05:40,0:05:45,bench pressing,0.99968886
0:05:45,0:05:50,bench pressing,0.9935855
0:05:50,0:05:55,bench pressing,0.99995375
0:05:55,0:06:00,bench pressing,0.2924137
0:06:00,0:06:05,pull ups,0.521924
0:06:05,0:06:10,pull ups,0.50864905
0:06:10,0:06:15,pull ups,0.75740033
0:06:15,0:06:20,pull ups,0.6246448
0:06:20,0:06:25,pull ups,0.7591437
0:06:25,0:06:30,pull ups,0.867984
0:06:30,0:06:35,bench pressing,0.64362067
0:06:35,0:06:40,bench pressing,0.99148494
0:06:40,0:06:45,bench pressing,0.99325526
0:06:45,0:06:50,bench pressing,0.998692
0:06:50,0:06:55,bench pressing,0.9989901
0:06:55,0:07:00,bench pressing,0.99964225
0:07:00,0:07:05,bench pressing,0.9997743
0:07:05,0:07:10,bench pressing,0.9996811
0:07:10,0:07:15,bench pressing,0.9999205
0:07:15,0:07:20,bench pressing,0.9992779
0:07:20,0:07:25,bench pressing,0.99928516
0:07:25,0:07:30,bench pressing,0.86686146
0:07:30,0:07:35,bench pressing,0.68330616
0:07:35,0:07:40,bench pressing,0.80614966
0:07:40,0:07:45,bench pressing,0.9221473
0:07:45,0:07:50,bench pressing,0.91365635
0:07:50,0:07:55,bench pressing,0.98950815
0:07:55,0:08:00,front raises,0.6883346
0:08:00,0:08:05,exersising arm,0.5834487
0:08:05,0:08:10,exersising arm,0.9047116
0:08:10,0:08:15,exersising arm,0.8211685
0:08:15,0:08:20,exersising arm,0.5440776
0:08:20,0:08:25,exersising arm,0.61987776
0:08:25,0:08:30,exersising arm,0.45768654
0:08:30,0:08:35,pull ups,0.34514993
0:08:35,0:08:40,exersising arm,0.6981875
0:08:40,0:08:45,exersising arm,0.76242965
0:08:45,0:08:50,squat,0.3622546
0:08:50,0:08:55,squat,0.4223744
0:08:55,0:09:00,squat,0.32445636
0:09:00,0:09:05,pull ups,0.26600966
0:09:05,0:09:10,push up,0.6384911
0:09:10,0:09:15,push up,0.93293583
0:09:15,0:09:20,squat,0.43932983
0:09:20,0:09:25,squat,0.43427312
0:09:25,0:09:30,squat,0.5127812
0:09:30,0:09:35,front raises,0.43698406
0:09:35,0:09:40,exersising arm,0.28303048
0:09:40,0:09:45,squat,0.97910154
0:09:45,0:09:50,squat,0.7182773
0:09:50,0:09:55,lunge,0.5900316
0:09:55,0:10:00,squat,0.7450354
0:10:00,0:10:05,lunge,0.64057773
0:10:05,0:10:10,lunge,0.7611319
0:10:10,0:10:15,lunge,0.7267073
0:10:15,0:10:20,lunge,0.8023789
0:10:20,0:10:25,lunge,0.7502404
0:10:25,0:10:30,lunge,0.6719865
0:10:30,0:10:35,front raises,0.30372247
0:10:35,0:10:40,situp,0.5682876
0:10:40,0:10:45,front raises,0.38485295
0:10:45,0:10:50,lunge,0.33923087
0:10:50,0:10:55,situp,0.94508356
